place,state,country,all_minimums_repealed,status,policy_change,scope,land_uses,reform_date,population,lat,long,url,reporter,summary
New Buffalo,MI,United States,FALSE,implemented,add parking maximums,citywide,all uses,,1708,41.7952562,-86.7444526,https://parkingreform.org/mandates-map/city_detail/NewBuffalo_MI.html,Samuel Deetz,Parking maximums are set at 130% of the minimums.
New Carlisle,IN,United States,FALSE,implemented,reduce parking minimums,city center / business district,all uses,,1891,41.7003231,-86.5094621,https://parkingreform.org/mandates-map/city_detail/NewCarlisle_IN.html,Samuel Deetz,Parking requirements may be reduced in the TC District through the calculation of on-street parking towards the requirements.
New Castle,CO,United States,FALSE,implemented,"reduce parking minimums,remove parking minimums",city center / business district,commercial,,4923,39.5714753,-107.534965,https://parkingreform.org/mandates-map/city_detail/NewCastle_CO.html,Samuel Deetz,"Commercial uses in the C-1 District are exempt from parking mandates. Residential uses in the district have a reduced requirement, which may be further reduced through the payment of a fee in lieu of required parking."
New Castle,DE,United States,FALSE,implemented,"add parking maximums,reduce parking minimums,remove parking minimums",city center / business district,"commercial,residential, all uses",,5551,39.6159851,-75.662956,https://parkingreform.org/mandates-map/city_detail/NewCastle_DE.html,Samuel Deetz,"In the HR Historic Residence and HC Historic Commerce Districts, a development which adds no more than two dwelling units does not require parking. Within the Downtown Gateway District, certain uses have the first 300-450 square feet exempted, while maximum parking limits are set for all uses in the district."
New Castle,IN,United States,FALSE,implemented,remove parking minimums,citywide,"commercial,industrial",,17396,39.9289351,-85.3702477,https://parkingreform.org/mandates-map/city_detail/NewCastle_IN.html,Samuel Deetz,Parking space requirements do not apply in a block where 50% or more of the area was occupied by business or industrial structure at the time of passage of the zoning code.
New Castle,PA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,21926,40.9999202,-80.3471856,https://parkingreform.org/mandates-map/city_detail/NewCastle_PA.html,Samuel Deetz,The C-2 Central Business District is exempt from parking mandates.
New Cumberland,PA,United States,FALSE,implemented,"add parking maximums,reduce parking minimums,remove parking minimums",city center / business district,"residential, all uses",,7507,40.2284433,-76.8673781,https://parkingreform.org/mandates-map/city_detail/NewCumberland_PA.html,Samuel Deetz,"Within the Downtown Overlay District, the first two residential units in a mixed-use building are exempt from parking mandates. Within the Mixed Use and Industrial/Commercial Districts, a fee in lieu of parking may be provided. Parking maximums are set at 120% of the minimums citywide."
New Florence,PA,United States,FALSE,implemented,remove parking minimums,citywide,all uses,,671,40.3803492,-79.075308,https://parkingreform.org/mandates-map/city_detail/NewFlorence_PA.html,Samuel Deetz,New Florence does not have zoning or parking mandates.
New Franklin,MO,United States,FALSE,implemented,remove parking minimums,main street / special,all uses,,1027,39.0172514,-92.7374075,https://parkingreform.org/mandates-map/city_detail/NewFranklin_MO.html,Samuel Deetz,"No off-street parking spaces are required in the two (2) block area fronting on Broadway Avenue and bounded by Mechanic Street, Howard Street, Merchant Street and Missouri Avenue."
New Haven,CT,United States,FALSE,implemented,"add parking maximums,reduce parking minimums,remove parking minimums",city center / business district,"all uses,commercial",,135081,41.3082138,-72.9250518,https://parkingreform.org/mandates-map/city_detail/NewHaven_CT.html,Bobby Siemiaszko,"In the business A-1 and A-2 zone, small nonresidential uses are exempt. In the Business D, D-1, D-2 and BD-3 Districts, dwellings and healthcare uses are exempt. All uses in the CGD Zone are exempt. Various reductions are available across the city, and parking maximums apply is some of the business districts. New Haven Parking Authority has signed on to support DesegregateCT's platform, which includes eliminating parking requirements citywide."
New Haven,IN,United States,FALSE,implemented,"add parking maximums,reduce parking minimums,remove parking minimums","city center / business district,citywide","all uses,medical,other",,15583,41.0733059,-85.0173125,https://parkingreform.org/mandates-map/city_detail/NewHaven_IN.html,Samuel Deetz,"Within the CC and MU districts, the minimum parking requirements are waived, and are instead the maximums. Citywide, airports, hospitals, religious institutions and schools are exempt. Within the nonresidential zoning districts (CC, MU, C1 through C4, SC, NC, BTI, and I1 through I4), parking requirements may be reduced through on-street parking, bike parking, transit availability, or pervious pavement."
New Haven,MO,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,2414,38.6083822,-91.2190416,https://parkingreform.org/mandates-map/city_detail/NewHaven_MO.html,Samuel Deetz,"The ""C-3"" Central Business District is exempt from minimum parking requirements."
New Hope,MN,United States,FALSE,implemented,"add parking maximums,reduce parking minimums",city center / business district,all uses,,21986,45.0347176,-93.3861037,https://parkingreform.org/mandates-map/city_detail/NewHope_MN.html,Samuel Deetz,"Within the CC City Center District, parking requirements may be reduced up to 25% through on-street parking, a public parking facility, or a fee-in-lieu. Parking maximums exist for all uses in the district."
New Hope,PA,United States,FALSE,implemented,reduce parking minimums,city center / business district,all uses,2021-12-21,2612,40.3642728,-74.9512785,https://parkingreform.org/mandates-map/city_detail/NewHope_PA.html,Samuel Deetz,"A fee in lieu of required parking may be provided within the Central Commercial, Highway Commercial, Mixed Use, Limited Commercial and Light Industrial districts."
New Iberia,LA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,28555,30.0035365,-91.8187285,https://parkingreform.org/mandates-map/city_detail/NewIberia_LA.html,Samuel Deetz,The C-2 Central Business District is exempt from parking mandates.
New Kensington,PA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,12170,40.5697893,-79.7647705,https://parkingreform.org/mandates-map/city_detail/NewKensington_PA.html,Samuel Deetz,The C-3 Central Business District is exempt from parking mandates.
New London,MN,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,1252,45.3010756,-94.9441773,https://parkingreform.org/mandates-map/city_detail/NewLondon_MN.html,Samuel Deetz,The B-1 Central Business District is exempt from minimum parking requirements.
New London,WI,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,7348,44.3927581,-88.7398255,https://parkingreform.org/mandates-map/city_detail/NewLondon_WI.html,Samuel Deetz,The B-1 Central Business District is exempt from minimum parking requirements.
New Market,MD,United States,FALSE,implemented,"add parking maximums,remove parking minimums",citywide,commercial,,1525,39.3827893,-77.2726393,https://parkingreform.org/mandates-map/city_detail/NewMarket_MD.html,Samuel Deetz,Commercial uses are exempt from parking mandates citywide and instead have parking maximums.
New Morgan,PA,United States,FALSE,implemented,reduce parking minimums,"citywide,main street / special","all uses,commercial,other,residential, all uses",,100,40.180929,-75.8902108,https://parkingreform.org/mandates-map/city_detail/NewMorgan_PA.html,Samuel Deetz,"Parking requirements are reduced by 10 percent when there is shared parking between multiple uses. Within the PRD Planned Residential Development, on-street parking may count towards parking requirements."
New Orleans,LA,United States,FALSE,implemented,"add parking maximums,remove parking minimums","city center / business district,main street / special",all uses,,390144,29.9499323,-90.0701156,https://parkingreform.org/mandates-map/city_detail/NewOrleans_LA.html,Maggie Kochman,"No parking minimum requirements in the Historic Core, part of the Historic Urban Neighborhood (HU-B1A) and Central Business District. Also exempt, in Historic Urban Neighborhood Districts: 1) all single-family and two-family dwellings on lots 30 feet or less. 2) a single-family or two-family dwelling on a blockface where 40% of those existing dwellings have no off-street parking. Also exempt: the first 3,000 square feet in gross floor area for commercial uses in the HMC-2 district, and the first 5,000 square feet in gross floor area for commercial uses in HU-B1, HU-MU and MU-1 Districts, except for shopping center configurations. Parking maximums are 150% of the minimums."
New Palestine,IN,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,2744,39.7219882,-85.8891471,https://parkingreform.org/mandates-map/city_detail/NewPalestine_IN.html,Samuel Deetz,"Off-street parking is not required in a block frontage contained in a B-3 Highway Business District in which the ground floor area of business or industrial structures, including their accessory buildings, existing at the time of passage of the ordinance establishing the Zoning Code, equaled fifty percent (50%) or more of the entire area of the block frontage."
New Prague,MN,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,8162,44.5433331,-93.5760445,https://parkingreform.org/mandates-map/city_detail/NewPrague_MN.html,Samuel Deetz,Uses in the B-1 Central Business District are not required to provide off-street parking spaces.
New Richland,MN,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,1229,43.8938493,-93.4938287,https://parkingreform.org/mandates-map/city_detail/NewRichland_MN.html,Samuel Deetz,The C1 Downtown Commercial District and C2 Neighborhood Commercial District are exempt from minimum parking requirements.
New Richmond,OH,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,2727,38.9486757,-84.2799366,https://parkingreform.org/mandates-map/city_detail/NewRichmond_OH.html,Samuel Deetz,The Village of New Richmond Landmark District is exempt from minimum parking requirements.
New Roads,LA,United States,FALSE,implemented,"reduce parking minimums,remove parking minimums",city center / business district,commercial,,4549,30.6932528,-91.4342983,https://parkingreform.org/mandates-map/city_detail/NewRoads_LA.html,Samuel Deetz,"Within the HCOD New Roads Historic Core Overlay District, commercial uses are exempt from parking mandates and residential uses have reduced parking requirements."
New Shoreham,RI,United States,FALSE,implemented,reduce parking minimums,city center / business district,"commercial,other,residential, all uses",,1410,41.1722089,-71.5573011,https://parkingreform.org/mandates-map/city_detail/NewShoreham_RI.html,Samuel Deetz,"Within the Old Harbor Commercial Zone (OHC), parking requirements are reduced for assembly hall, dwelling unit, hotel, light assembly, retail and restaurant uses."
New Strawn,KS,United States,FALSE,implemented,remove parking minimums,city center / business district,commercial,,414,38.2625197,-95.7419311,https://parkingreform.org/mandates-map/city_detail/NewStrawn_KS.html,Samuel Deetz,No parking is required in the C-1 General Business District except for dwelling units permitted in conjunction with business uses.
New Ulm,MN,United States,FALSE,implemented,"reduce parking minimums,remove parking minimums",city center / business district,"commercial,industrial,other",,14120,44.3140261,-94.4614177,https://parkingreform.org/mandates-map/city_detail/NewUlm_MN.html,Samuel Deetz,"All commercial, industrial or institutional uses located within the B-4 Downtown zoning district are exempt from the minimum off-street parking requirements so long as municipal off-street parking is provided to serve the area. In any commercial or industrial district, establishments that pay an assessment or tax for the development, maintenance, repair or operation of off-street City parking facilities are exempt from off-street parking requirements."
New Wilmington,PA,United States,FALSE,implemented,remove parking minimums,city center / business district,"commercial,other",,2097,41.1222812,-80.3328428,https://parkingreform.org/mandates-map/city_detail/NewWilmington_PA.html,Samuel Deetz,Nonresidential uses in the C-Commercial District are exempt from parking mandates.
New York City,NY,United States,FALSE,implemented,"add parking maximums,remove parking minimums","city center / business district,transit oriented",all uses,,8336817,40.7127281,-74.0060152,https://parkingreform.org/mandates-map/city_detail/NewYorkCity_NY.html,Laura Smith,"NYC consists of 5 boroughs with over 8 million people. NYC has no parking minimums in most of Manhattan, and reduced requirements (with no requirement for certain types of housing) in several other dense neighborhoods around the city. 

In the Manhattan Core (Community Districts 1-8), no off-street parking is required. The maximum amount of off-street parking allowable is determined by the proposed use and Community District. 

On September 21, 2023, Mayor Adams proposed removing minimum parking requirements for housing citywide. In order for the change to take effect, it will have to pass the Uniform Land Use Review Procedure and would not become law until at least fall 2024."
New Zealand,,New Zealand,TRUE,implemented,remove parking minimums,regional,all uses,2020-07-23,5122600,-41.5000831,172.8344077,https://parkingreform.org/mandates-map/city_detail/NewZealand.html,Patrick Siegman,"The National Policy Statement - Urban Development (NPS UD) required councils to remove provisions for a minimum number of on-site car parks from district plans through a non-notified process, to allow more intensive urban development with less space taken up by car parks, leading to better utilisation of urban land."
Newark,DE,United States,FALSE,implemented,"reduce parking minimums,remove parking minimums",citywide,"residential, all uses",,30601,39.6828358,-75.7515682,https://parkingreform.org/mandates-map/city_detail/Newark_DE.html,Samuel Deetz,Affordable dwelling units  built using Tax Increment Financing and/or Low Income Housing Tax Credits are exempt from minimum parking requirements. Parking requirements for all uses in the BB Central Business District are reduced.
Newark,NJ,United States,FALSE,implemented,remove parking minimums,transit oriented,all uses,,282011,40.735657,-74.1723667,https://parkingreform.org/mandates-map/city_detail/Newark_NJ.html,,"No parking is required for residential and non-residential land uses within a 1,200-foot radius of a light rail, PATH train or NJ Transit train station."
Newark,OH,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,49934,40.0581205,-82.4012643,https://parkingreform.org/mandates-map/city_detail/Newark_OH.html,Samuel Deetz,The DC Downtown District is exempt from parking mandates.
Newburg,WI,United States,FALSE,implemented,remove parking minimums,city center / business district,commercial,,1142,43.4316671,-88.0464812,https://parkingreform.org/mandates-map/city_detail/Newburg_WI.html,Samuel Deetz,Nonresidential uses in the B-1 Business District are exempt from minimum parking requirements.
Newburgh Heights,OH,United States,FALSE,implemented,remove parking minimums,main street / special,all uses,,1862,41.450052,-81.6634618,https://parkingreform.org/mandates-map/city_detail/NewburghHeights_OH.html,Samuel Deetz,Parking is not required within Mixed-Use districts.
Newhall,IA,United States,FALSE,implemented,add parking maximums,citywide,"residential, all uses",,876,41.994547,-91.96739,https://parkingreform.org/mandates-map/city_detail/Newhall_IA.html,Samuel Deetz,"The total number of parking spaces provided for one-family, two-family or multiple- family dwellings or hotels may not exceed the requirements by more than fifty percent (50%) or four (4) spaces, whichever number is greater."
Newport News,VA,United States,TRUE,implemented,remove parking minimums,citywide,all uses,2024-10-22,186247,36.9775016,-76.42977,https://parkingreform.org/mandates-map/city_detail/NewportNews_VA.html,John Watson,"Newport News repealed all parking mandates on October 22, 2024. Previously, no minimum parking was required for residential uses in the C3 Regional Business District."
Newport,DE,United States,FALSE,implemented,reduce parking minimums,city center / business district,"commercial,industrial",,910,39.7137238,-75.6093709,https://parkingreform.org/mandates-map/city_detail/Newport_DE.html,Samuel Deetz,Parking requirements are reduced in the GI General Industry District and GB General Business District.
Newport,MN,United States,FALSE,implemented,"add parking maximums,reduce parking minimums",city center / business district,all uses,,3797,44.8734744,-93.0003862,https://parkingreform.org/mandates-map/city_detail/Newport_MN.html,Samuel Deetz,"In the MX-1 District, on-street parking spaces that are adjacent to the parcel that the parking is being calculated for may be included in the calculation. The maximum number of off-street parking spaces permitted may not exceed one space per 250 square feet for office or retail uses, except in the case of restaurants which may be allowed one space per 200 square feet if shared parking facilities are not available."
Newport,RI,United States,FALSE,implemented,add parking maximums,citywide,"commercial,medical,residential, all uses",,25163,41.4899827,-71.3137707,https://parkingreform.org/mandates-map/city_detail/Newport_RI.html,Samuel Deetz,Parking maximums apply to some uses.
Newton Falls,OH,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,4557,41.18839,-80.978147,https://parkingreform.org/mandates-map/city_detail/NewtonFalls_OH.html,Samuel Deetz,Within the C-1 Central Business District there are no parking minimums except as needed to meet other requirements.
Newton,KS,United States,FALSE,implemented,"add parking maximums,reduce parking minimums,remove parking minimums","city center / business district,citywide","commercial,industrial,medical,other",,18602,38.0469166,-97.3447244,https://parkingreform.org/mandates-map/city_detail/Newton_KS.html,Samuel Deetz,"There is no minimum parking requirement for non-residential uses. However, the applicant must provide a statement or parking analysis indicating how they will provide adequate parking for the proposed non-residential use to succeed without negatively impacting adjacent properties or creating or compounding a dangerous traffic condition. Residential uses require parking, except in the C-3 Central Business District. Reductions for residential parking are available through motorcycle, scooter and bike parking. On-street parking may be counted towards the parking minimums. Parking maximums exist for all non-residential uses."
Newville,PA,United States,FALSE,implemented,reduce parking minimums,citywide,all uses,2021-12-15,1376,40.173145,-77.399308,https://parkingreform.org/mandates-map/city_detail/Newville_PA.html,Samuel Deetz,On-street parking may count towards parking requirements.
Nichols Hills,OK,United States,FALSE,implemented,remove parking minimums,main street / special,commercial,,3870,35.5508857,-97.5489318,https://parkingreform.org/mandates-map/city_detail/NicholsHills_OK.html,Samuel Deetz,There are no parking requirements for retail uses in the South Plaza Commercial Parking District.
Nichols,WI,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,288,44.563042,-88.4634342,https://parkingreform.org/mandates-map/city_detail/Nichols_WI.html,Samuel Deetz,Areas which are located within the fire zone as designated on the Official Map are exempt from minimum parking requirements.
Niles,MI,United States,FALSE,implemented,"reduce parking minimums,remove parking minimums",city center / business district,all uses,,11988,41.8297694,-86.2541768,https://parkingreform.org/mandates-map/city_detail/Niles_MI.html,Samuel Deetz,"The downtown area bounded by Cedar Street on the South, the St. Joseph River on the West, Sycamore Street on the North and Fifth Street on the East and the area West of Front Street, East of the St. Joseph River and South of Cass Street, are exempt from off-street parking and loading requirements. Within the City Center Overlay District covering a wider swath of downtown, parking requirements are reduced for retail and restaurant uses."
Noble,IL,United States,FALSE,implemented,remove parking minimums,city center / business district,commercial,,633,38.6975481,-88.223653,https://parkingreform.org/mandates-map/city_detail/Noble_IL.html,Samuel Deetz,"The B-1 Central Business District is exempt from minimum parking requirements, except for special uses and residential uses."
Noblesville,IN,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,69604,40.0455918,-86.0085955,https://parkingreform.org/mandates-map/city_detail/Noblesville_IN.html,Samuel Deetz,Uses in the Core Central Business District (CCBD) are exempt from parking ratio requirements.
Norcross,GA,United States,FALSE,implemented,"add parking maximums,reduce parking minimums",citywide,all uses,,17209,33.9412127,-84.2135309,https://parkingreform.org/mandates-map/city_detail/Norcross_GA.html,Samuel Deetz,"Minimum parking requirements may not be exceeded by more than 125% of the minimums, unless approved by the Community Development Director. Parking requirements may be reduced with the approval of the Community Development Director based on the proximity to public parking, bus stops, or a carsharing or vanpool program."
Norfolk,NE,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,24955,42.0283379,-97.4169964,https://parkingreform.org/mandates-map/city_detail/Norfolk_NE.html,Samuel Deetz,No off-street parking or loading space is required for any use of land located in the C-2 Central Business District and R-T Tiny House District.
Norfolk,VA,United States,FALSE,implemented,remove parking minimums,main street / special,"commercial,residential, all uses",2022-04-26,244601,36.847815,-76.29054,https://parkingreform.org/mandates-map/city_detail/Norfolk_VA.html,Kevin R. Murphy,Norfolk eliminated minimum off-street parking requirements for all non-residential uses and residential development of 24 multi-family dwelling units or less for properties within the Norfolk and Western Historic Overlay district.
Normal,IL,United States,FALSE,implemented,"add parking maximums,remove parking minimums",city center / business district,commercial,,52736,40.5092961,-88.9843937,https://parkingreform.org/mandates-map/city_detail/Normal_IL.html,Samuel Deetz,Permitted business and office uses in the B-2 Central Business District are exempt from off-street parking requirements. This exemption does not apply to residential dwelling uses. Parking maximums apply to single-family and two-family dwellings.
Norman,OK,United States,FALSE,implemented,remove parking minimums,citywide,"commercial,other,residential, all uses",,122837,35.2225717,-97.4394816,https://parkingreform.org/mandates-map/city_detail/Norman_OK.html,Matthew Peacock,"In early November 2021, Norman replaced ""Spaces Required"" with ""Spaces Recommended"" in zoning code for all land uses except for single family homes, duplexes, fraternity houses, and mobile home parks."
Norristown,PA,United States,FALSE,implemented,"reduce parking minimums,remove parking minimums",city center / business district,all uses,,35748,40.1148787,-75.3433705,https://parkingreform.org/mandates-map/city_detail/Norristown_PA.html,Samuel Deetz,The TC Town Center and TCII Town Center II districts are exempt from parking mandates. Parking requirements may be reduced for mixed-use developments and for uses located near transit.
North Baltimore,OH,United States,FALSE,implemented,reduce parking minimums,citywide,"commercial,other,residential, all uses",,3369,41.1828302,-83.6782668,https://parkingreform.org/mandates-map/city_detail/NorthBaltimore_OH.html,Samuel Deetz,Parking requirements are reduced for mixed-use developments.
North Beach,MD,United States,FALSE,implemented,reduce parking minimums,citywide,all uses,,2146,38.7048801,-76.5331735,https://parkingreform.org/mandates-map/city_detail/NorthBeach_MD.html,Samuel Deetz,Parking requirements may be reduced for uses requiring 20 or more spaces when EV chargers are provided.
North Branch,MI,United States,FALSE,implemented,"reduce parking minimums,remove parking minimums",city center / business district,all uses,,1096,43.229471,-83.196612,https://parkingreform.org/mandates-map/city_detail/NorthBranch_MI.html,Samuel Deetz,"Within the CBD District, parking is not required. Parking requirements may be reduced through bike parking citywide."
North Canton,OH,United States,FALSE,implemented,remove parking minimums,"city center / business district,citywide","all uses,commercial,industrial,other",2023-08-21,17842,40.875891,-81.4023356,https://parkingreform.org/mandates-map/city_detail/NorthCanton_OH.html,Samuel Deetz,"On August 21, 2023, the city replaced parking requirements with recommended parking for nonresidential uses citywide. There are no parking mandates for residential uses in the Main Street Districts."
North Chicago,IL,United States,FALSE,implemented,reduce parking minimums,city center / business district,"commercial,other,residential, multi-family",,30759,42.325578,-87.8411818,https://parkingreform.org/mandates-map/city_detail/NorthChicago_IL.html,Samuel Deetz,"The number of parking spaces required for all uses, except residential, may be reduced by fifty percent (50%) for properties adjacent to Sheridan Road, 10th Street or Martin Luther King Jr. Drive within the URO Urban Redevelopment Overlay District. Parking requirements for apartments with two or three bedrooms are reduced within the URO District to one space per unit plus guest parking."
North East,MD,United States,FALSE,implemented,reduce parking minimums,city center / business district,"all uses,commercial,other,residential, all uses",,4085,39.5992989,-75.9424217,https://parkingreform.org/mandates-map/city_detail/NorthEast_MD.html,Samuel Deetz,"Parking requirements are reduced by right for restaurants and retail uses in the GC and VC Districts and for multi-family dwellings in the GC District. A change of use in both districts is exempt from parking mandates and all uses there may provide a fee in lieu of required parking. Public libraries, museums, art galleries and community centers may have reduced requirements when transit or pedestrian access is available."
North East,PA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,4114,42.2150373,-79.8358415,https://parkingreform.org/mandates-map/city_detail/NorthEast_PA.html,Samuel Deetz,"The ""Downtown Business District""  is exempt from the minimum parking requirements. This area is designated as the Downtown Parking Overlay District as depicted on the North East Borough Zoning Map."
North Fond du Lac,WI,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,5378,43.8113769,-88.4834419,https://parkingreform.org/mandates-map/city_detail/NorthFondduLac_WI.html,Samuel Deetz,"Within the B-1 Business District, off-street parking is not required."
North Hampton,OH,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,457,39.9904136,-83.9401002,https://parkingreform.org/mandates-map/city_detail/NorthHampton_OH.html,Samuel Deetz,The General Business District is exempt from parking mandates.
North Irwin,PA,United States,FALSE,implemented,add parking maximums,main street / special,"residential, all uses",,823,40.3384866,-79.7115399,https://parkingreform.org/mandates-map/city_detail/NorthIrwin_PA.html,Samuel Deetz,"The total number of parking spaces for residential uses in residential districts may not exceed the minimums by more than 50% or four spaces, whichever is greater."
North Kansas City,MO,United States,FALSE,implemented,"add parking maximums,reduce parking minimums,remove parking minimums",city center / business district,commercial,,4467,39.1432057,-94.5733988,https://parkingreform.org/mandates-map/city_detail/NorthKansasCity_MO.html,Samuel Deetz,"No on-site parking is required in the C-2 Downtown Business zoning district, except for any residential uses. Other districts may reduce required parking through bike parking and public or on-street parking. In addition, no non-residential use may provide more than one hundred fifty (150) percent of the minimum required parking without documented evidence of actual parking demand based on studies of similar uses in similar contexts. Any parking permitted over one hundred fifteen (115) percent of the minimum shall require mitigating potential impacts of more parking through various strategies."
North Kingstown,RI,United States,FALSE,implemented,reduce parking minimums,citywide,commercial,,27732,41.5514283,-71.4693875,https://parkingreform.org/mandates-map/city_detail/NorthKingstown_RI.html,Samuel Deetz,Business uses may count on-street parking towards the parking requirements.
North Las Vegas,NV,United States,FALSE,implemented,reduce parking minimums,city center / business district,"all uses,residential, all uses",,262527,36.2005843,-115.121584,https://parkingreform.org/mandates-map/city_detail/NorthLasVegas_NV.html,Samuel Deetz,"Parking requirements for residential development within the R-A Redevelopment Area District are reduced by right, with additional reductions possible for all uses in the district through on-street parking."
North Lewisburg,OH,United States,FALSE,implemented,reduce parking minimums,citywide,all uses,,1636,40.2231134,-83.557427,https://parkingreform.org/mandates-map/city_detail/NorthLewisburg_OH.html,Samuel Deetz,A change of use in a building existing prior to the code adoption is exempt from parking mandates.
North Little Rock,AR,United States,FALSE,implemented,remove parking minimums,city center / business district,"commercial,residential, all uses",,64591,34.769536,-92.2670941,https://parkingreform.org/mandates-map/city_detail/NorthLittleRock_AR.html,Samuel Deetz,"The C-5 (downtown) district is exempt from minimum parking requirements, except for churches."
North Manchester,IN,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,5277,41.0006005,-85.768597,https://parkingreform.org/mandates-map/city_detail/NorthManchester_IN.html,Samuel Deetz,Off-street parking areas are not required for individual lots in the Central Business District if on-street or public parking is available.
North Mankato,MN,United States,FALSE,implemented,remove parking minimums,main street / special,commercial,,13948,44.1732916,-94.0338055,https://parkingreform.org/mandates-map/city_detail/NorthMankato_MN.html,,Commercial properties having frontage on the 200 block of Belgrade Avenue are exempt from off-street parking and loading requirements.
North Muskegon,MI,United States,FALSE,implemented,add parking maximums,citywide,all uses,,4093,43.256125,-86.26756,https://parkingreform.org/mandates-map/city_detail/NorthMuskegon_MI.html,Samuel Deetz,Parking maximums are set at 120% of the minimums.
North Olmsted,OH,United States,FALSE,implemented,add parking maximums,citywide,all uses,,32442,41.4156025,-81.9234726,https://parkingreform.org/mandates-map/city_detail/NorthOlmsted_OH.html,Samuel Deetz,"The minimum parking space requirements may not be exceeded by more than 20%, unless approved by the reviewing authority as part of development plan review or if the parking spaces are located within a multi-level parking structure."
North Pekin,IL,United States,FALSE,implemented,remove parking minimums,citywide,"residential, low-density",,1478,40.6150384,-89.6223229,https://parkingreform.org/mandates-map/city_detail/NorthPekin_IL.html,Samuel Deetz,Single-family and two-family dwellings are exempt from parking mandates.
North Platte,NE,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,23390,41.1238873,-100.7654232,https://parkingreform.org/mandates-map/city_detail/NorthPlatte_NE.html,Samuel Deetz,No off-street parking spaces are required in the B-3 Downtown Commercial District.
North Prairie,WI,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,2202,42.934456,-88.4053742,https://parkingreform.org/mandates-map/city_detail/NorthPrairie_WI.html,Samuel Deetz,The B-2 Central Business District is exempt from minimum parking requirements.
North Riverside,IL,United States,FALSE,implemented,add parking maximums,citywide,"residential, low-density",,7426,41.84686,-87.8152024,https://parkingreform.org/mandates-map/city_detail/NorthRiverside_IL.html,Samuel Deetz,Parking maximums apply to single-family and two-family dwellings.
North St. Paul,MN,United States,FALSE,implemented,reduce parking minimums,citywide,"commercial,industrial,other,residential, multi-family",,12364,45.0122571,-92.9922512,https://parkingreform.org/mandates-map/city_detail/NorthSt.Paul_MN.html,Samuel Deetz,The minimum amount of required parking for all non-single-family residential uses may be reduced by up to 10% for the provision of bicycle parking. A reduction of one vehicle parking space is allowed for every six additional bicycle parking spaces installed beyond the required amount.
North Utica,IL,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,1323,41.3405897,-89.010081,https://parkingreform.org/mandates-map/city_detail/NorthUtica_IL.html,Samuel Deetz,Off street parking in the C-1 central business district is not required.
North Wales,PA,United States,FALSE,implemented,reduce parking minimums,"city center / business district,citywide","commercial,other",,3426,40.2143282,-75.2774194,https://parkingreform.org/mandates-map/city_detail/NorthWales_PA.html,Samuel Deetz,Parking requirements may be reduced for nonresidential uses through on-street parking or the use of an existing building. Nonresidential uses in an existing building fronting Main or Walnut streets in the CBD are exempt from parking mandates.
Northfield,IL,United States,FALSE,implemented,reduce parking minimums,"city center / business district,citywide","all uses,commercial",,5751,42.09975,-87.7808967,https://parkingreform.org/mandates-map/city_detail/Northfield_IL.html,Samuel Deetz,"Parking requirements may be reduced for a captive market, public transit availability, complimentary uses, EV chargers, or bike parking."
Northfield,MN,United States,FALSE,implemented,"add parking maximums,reduce parking minimums",city center / business district,commercial,,20790,44.4582041,-93.161159,https://parkingreform.org/mandates-map/city_detail/Northfield_MN.html,Samuel Deetz,"On-street parking space in non-residential zoning districts may be counted toward off-street parking space requirements. In addition, Northfield maintains parking maximums."
Northglenn,CO,United States,FALSE,implemented,"add parking maximums,reduce parking minimums,remove parking minimums",citywide,"commercial,industrial,other,residential, all uses",,38131,39.9100858,-104.987552,https://parkingreform.org/mandates-map/city_detail/Northglenn_CO.html,Samuel Deetz,"Properties smaller than 5000 square feet are exempt from parking mandates except for single-family, two-family and manufactured homes. Parking maximums are set at 125% of the minimums except for residential uses. Upon approval, parking requirements may be reduced through on-street parking, proximity to transit or EV charging stations."
Northville Charter Township,MI,United States,FALSE,implemented,add parking maximums,citywide,all uses,,31758,42.415,-83.4922222,https://parkingreform.org/mandates-map/city_detail/NorthvilleCharterTownship_MI.html,Samuel Deetz,Parking maximums are set at 100% of the minimums.
